INFO  - 24-06-17 12:46:02 [__main__       ] Storing train run in /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-133
INFO  - 24-06-17 12:46:02 [__main__       ] lr: 0.001
INFO  - 24-06-17 12:46:02 [__main__       ] milestones: 3 30 100 180
INFO  - 24-06-17 12:46:02 [__main__       ] gamma: 0.5
INFO  - 24-06-17 12:46:02 [__main__       ] nepoch: 500
INFO  - 24-06-17 12:46:02 [__main__       ] truncate: 4
INFO  - 24-06-17 12:46:02 [__main__       ] print-freq: 1
INFO  - 24-06-17 12:46:02 [__main__       ] checkpoint-freq: 1000
INFO  - 24-06-17 12:46:02 [__main__       ] batch-size: 2
INFO  - 24-06-17 12:46:02 [__main__       ] time-limit: 48
INFO  - 24-06-17 12:46:02 [__main__       ] nfeature: 128
INFO  - 24-06-17 12:46:02 [__main__       ] kernel: 313 None None
INFO  - 24-06-17 12:46:02 [__main__       ] temporal-rnn: on
INFO  - 24-06-17 12:46:02 [__main__       ] ndynamic: 32
INFO  - 24-06-17 12:46:02 [__main__       ] acceleration: 2
INFO  - 24-06-17 12:51:30 [train          ] [1,      56] train loss: 9.354478e-01.
INFO  - 24-06-17 12:51:32 [train          ] [1,      57] train loss: 8.695407e-01.
INFO  - 24-06-17 12:51:33 [train          ] [1,      58] train loss: 5.682253e-01.
INFO  - 24-06-17 12:51:34 [train          ] [1,      59] train loss: 7.873574e-01.
INFO  - 24-06-17 12:51:36 [train          ] [1,      60] train loss: 6.905919e-01.
INFO  - 24-06-17 12:51:37 [train          ] [1,      61] train loss: 5.652229e-01.
INFO  - 24-06-17 12:51:38 [train          ] [1,      62] train loss: 6.187382e-01.
INFO  - 24-06-17 12:51:40 [train          ] [1,      63] train loss: 1.016821e+00.
INFO  - 24-06-17 12:51:41 [train          ] [1,      64] train loss: 6.702697e-01.
INFO  - 24-06-17 12:51:42 [train          ] [1,      65] train loss: 1.917810e+00.
INFO  - 24-06-17 12:51:44 [train          ] [1,      66] train loss: 1.198164e+00.
INFO  - 24-06-17 12:51:45 [train          ] [1,      67] train loss: 8.274364e-01.
INFO  - 24-06-17 12:51:46 [train          ] [1,      68] train loss: 9.308077e-01.
INFO  - 24-06-17 12:51:47 [train          ] [1,      69] train loss: 8.152912e-01.
INFO  - 24-06-17 12:51:49 [train          ] [1,      70] train loss: 6.949354e-01.
INFO  - 24-06-17 12:51:50 [train          ] [1,      71] train loss: 1.213364e+00.
INFO  - 24-06-17 12:51:51 [train          ] [1,      72] train loss: 1.285029e+00.
INFO  - 24-06-17 12:51:52 [train          ] [1,      73] train loss: 1.167584e+00.
INFO  - 24-06-17 12:51:53 [train          ] [1,      74] train loss: 1.137651e+00.
INFO  - 24-06-17 12:51:54 [train          ] [1,      75] train loss: 1.065517e+00.
INFO  - 24-06-17 12:51:56 [train          ] [1,      76] train loss: 7.799706e-01.
INFO  - 24-06-17 12:51:57 [train          ] [1,      77] train loss: 9.031825e-01.
INFO  - 24-06-17 12:51:59 [train          ] [1,      78] train loss: 1.176667e+00.
INFO  - 24-06-17 12:52:00 [train          ] [1,      79] train loss: 1.441276e+00.
INFO  - 24-06-17 12:52:01 [train          ] [1,      80] train loss: 7.142276e-01.
INFO  - 24-06-17 12:52:03 [train          ] [1,      81] train loss: 7.301055e-01.
INFO  - 24-06-17 12:52:04 [train          ] [1,      82] train loss: 1.617749e+00.
INFO  - 24-06-17 12:52:05 [train          ] [1,      83] train loss: 5.650454e-01.
INFO  - 24-06-17 12:52:07 [train          ] [1,      84] train loss: 9.980724e-01.
INFO  - 24-06-17 12:52:08 [train          ] [1,      85] train loss: 7.316040e-01.
INFO  - 24-06-17 12:52:10 [train          ] [1,      86] train loss: 7.650609e-01.
INFO  - 24-06-17 12:52:11 [train          ] [1,      87] train loss: 1.215862e+00.
INFO  - 24-06-17 12:52:12 [train          ] [1,      88] train loss: 8.825334e-01.
INFO  - 24-06-17 12:52:14 [train          ] [1,      89] train loss: 7.875051e-01.
INFO  - 24-06-17 12:52:15 [train          ] [1,      90] train loss: 7.019033e-01.
INFO  - 24-06-17 12:52:16 [train          ] [1,      91] train loss: 1.020606e+00.
INFO  - 24-06-17 12:52:18 [train          ] [1,      92] train loss: 8.506268e-01.
INFO  - 24-06-17 12:52:19 [train          ] [1,      93] train loss: 7.617890e-01.
INFO  - 24-06-17 12:52:20 [train          ] [1,      94] train loss: 1.162231e+00.
INFO  - 24-06-17 12:52:22 [train          ] [1,      95] train loss: 1.124593e+00.
INFO  - 24-06-17 12:52:23 [train          ] [1,      96] train loss: 1.376120e+00.
INFO  - 24-06-17 12:52:24 [train          ] [1,      97] train loss: 5.658433e-01.
INFO  - 24-06-17 12:52:25 [train          ] [1,      98] train loss: 6.846072e-01.
INFO  - 24-06-17 12:52:26 [train          ] [1,      99] train loss: 1.029800e+00.
INFO  - 24-06-17 12:52:27 [train          ] [1,     100] train loss: 1.171054e+00.
INFO  - 24-06-17 12:52:29 [train          ] [1,     101] train loss: 1.129931e+00.
INFO  - 24-06-17 12:52:31 [train          ] [1,     102] train loss: 1.371178e+00.
INFO  - 24-06-17 12:52:32 [train          ] [1,     103] train loss: 9.420042e-01.
INFO  - 24-06-17 12:52:33 [train          ] [1,     104] train loss: 1.002539e+00.
INFO  - 24-06-17 12:52:35 [train          ] [1,     105] train loss: 8.883354e-01.
INFO  - 24-06-17 12:52:36 [train          ] [1,     106] train loss: 7.777461e-01.
INFO  - 24-06-17 12:52:37 [train          ] [1,     107] train loss: 7.745491e-01.
INFO  - 24-06-17 12:52:39 [train          ] [1,     108] train loss: 1.247935e+00.
INFO  - 24-06-17 12:52:40 [train          ] [1,     109] train loss: 1.029474e+00.
INFO  - 24-06-17 12:52:41 [train          ] [1,     110] train loss: 1.351573e+00.
INFO  - 24-06-17 12:52:43 [train          ] [1,     111] train loss: 1.020126e+00.
INFO  - 24-06-17 12:52:44 [train          ] [1,     112] train loss: 6.021518e-01.
INFO  - 24-06-17 12:52:45 [train          ] [1,     113] train loss: 5.340929e-01.
INFO  - 24-06-17 12:52:47 [train          ] [1,     114] train loss: 7.450192e-01.
INFO  - 24-06-17 12:52:48 [train          ] [1,     115] train loss: 5.563396e-01.
INFO  - 24-06-17 12:52:49 [train          ] [1,     116] train loss: 9.982588e-01.
INFO  - 24-06-17 12:52:51 [train          ] [1,     117] train loss: 8.190870e-01.
INFO  - 24-06-17 12:52:52 [train          ] [1,     118] train loss: 6.005477e-01.
INFO  - 24-06-17 12:52:53 [train          ] [1,     119] train loss: 1.924053e+00.
INFO  - 24-06-17 12:52:55 [train          ] [1,     120] train loss: 8.891671e-01.
INFO  - 24-06-17 12:52:56 [train          ] [1,     121] train loss: 9.272253e-01.
INFO  - 24-06-17 12:52:57 [train          ] [1,     122] train loss: 1.456973e+00.
INFO  - 24-06-17 12:52:58 [train          ] [1,     123] train loss: 4.754885e-01.
INFO  - 24-06-17 12:52:59 [train          ] [1,     124] train loss: 1.171267e+00.
INFO  - 24-06-17 12:53:01 [train          ] [1,     125] train loss: 6.740949e-01.
INFO  - 24-06-17 12:53:02 [train          ] [1,     126] train loss: 7.115874e-01.
INFO  - 24-06-17 12:53:04 [train          ] [1,     127] train loss: 7.472717e-01.
INFO  - 24-06-17 12:53:05 [train          ] [1,     128] train loss: 8.040520e-01.
INFO  - 24-06-17 12:53:07 [train          ] [1,     129] train loss: 6.006982e-01.
INFO  - 24-06-17 12:53:08 [train          ] [1,     130] train loss: 1.312101e+00.
INFO  - 24-06-17 12:53:09 [train          ] [1,     131] train loss: 1.037180e+00.
INFO  - 24-06-17 12:53:11 [train          ] [1,     132] train loss: 9.839402e-01.
INFO  - 24-06-17 12:53:12 [train          ] [1,     133] train loss: 5.092249e-01.
INFO  - 24-06-17 12:53:13 [train          ] [1,     134] train loss: 7.916208e-01.
INFO  - 24-06-17 12:53:15 [train          ] [1,     135] train loss: 4.379247e-01.
INFO  - 24-06-17 12:53:16 [train          ] [1,     136] train loss: 9.075827e-01.
INFO  - 24-06-17 12:53:17 [train          ] [1,     137] train loss: 7.798226e-01.
INFO  - 24-06-17 12:53:19 [train          ] [1,     138] train loss: 1.128184e+00.
INFO  - 24-06-17 12:53:20 [train          ] [1,     139] train loss: 7.408481e-01.
INFO  - 24-06-17 12:53:21 [train          ] [1,     140] train loss: 6.360510e-01.
INFO  - 24-06-17 12:53:23 [train          ] [1,     141] train loss: 5.266145e-01.
INFO  - 24-06-17 12:53:24 [train          ] [1,     142] train loss: 5.150052e-01.
INFO  - 24-06-17 12:53:25 [train          ] [1,     143] train loss: 9.085909e-01.
INFO  - 24-06-17 12:53:27 [train          ] [1,     144] train loss: 7.411805e-01.
INFO  - 24-06-17 12:53:28 [train          ] [1,     145] train loss: 1.403457e+00.
INFO  - 24-06-17 12:53:29 [train          ] [1,     146] train loss: 7.891028e-01.
INFO  - 24-06-17 12:53:30 [train          ] [1,     147] train loss: 9.140344e-01.
INFO  - 24-06-17 12:53:31 [train          ] [1,     148] train loss: 8.923044e-01.
INFO  - 24-06-17 12:53:32 [train          ] [1,     149] train loss: 7.266031e-01.
INFO  - 24-06-17 12:53:34 [train          ] [1,     150] train loss: 5.714870e-01.
INFO  - 24-06-17 12:53:35 [train          ] [1,     151] train loss: 8.363246e-01.
INFO  - 24-06-17 12:53:37 [train          ] [1,     152] train loss: 9.743129e-01.
INFO  - 24-06-17 12:53:38 [train          ] [1,     153] train loss: 9.172585e-01.
INFO  - 24-06-17 12:53:39 [train          ] [1,     154] train loss: 1.204039e+00.
INFO  - 24-06-17 12:53:41 [train          ] [1,     155] train loss: 1.077936e+00.
INFO  - 24-06-17 12:53:42 [train          ] [1,     156] train loss: 8.572999e-01.
INFO  - 24-06-17 12:53:43 [train          ] [1,     157] train loss: 8.623148e-01.
INFO  - 24-06-17 12:53:45 [train          ] [1,     158] train loss: 5.160950e-01.
INFO  - 24-06-17 12:53:46 [train          ] [1,     159] train loss: 2.050243e+00.
INFO  - 24-06-17 12:53:47 [train          ] [1,     160] train loss: 8.175771e-01.
INFO  - 24-06-17 12:53:49 [train          ] [1,     161] train loss: 1.196835e+00.
INFO  - 24-06-17 12:53:50 [train          ] [1,     162] train loss: 7.619506e-01.
INFO  - 24-06-17 12:53:51 [train          ] [1,     163] train loss: 5.386745e-01.
INFO  - 24-06-17 12:53:53 [train          ] [1,     164] train loss: 7.158254e-01.
INFO  - 24-06-17 12:53:54 [train          ] [1,     165] train loss: 5.914721e-01.
INFO  - 24-06-17 12:53:55 [train          ] [1,     166] train loss: 9.519498e-01.
INFO  - 24-06-17 12:53:57 [train          ] [1,     167] train loss: 5.443254e-01.
INFO  - 24-06-17 12:53:58 [train          ] [1,     168] train loss: 8.808644e-01.
INFO  - 24-06-17 12:53:59 [train          ] [1,     169] train loss: 1.366189e+00.
INFO  - 24-06-17 12:54:00 [train          ] [1,     170] train loss: 1.002777e+00.
INFO  - 24-06-17 12:54:01 [train          ] [1,     171] train loss: 5.160531e-01.
INFO  - 24-06-17 12:54:02 [train          ] [1,     172] train loss: 1.341526e+00.
INFO  - 24-06-17 12:54:03 [train          ] [1,     173] train loss: 5.925535e-01.
INFO  - 24-06-17 12:54:05 [train          ] [1,     174] train loss: 7.490640e-01.
INFO  - 24-06-17 12:54:06 [train          ] [1,     175] train loss: 8.871368e-01.
INFO  - 24-06-17 12:54:07 [train          ] [1,     176] train loss: 9.047239e-01.
INFO  - 24-06-17 12:54:09 [train          ] [1,     177] train loss: 8.669466e-01.
INFO  - 24-06-17 12:54:10 [train          ] [1,     178] train loss: 1.259876e+00.
INFO  - 24-06-17 12:54:11 [train          ] [1,     179] train loss: 6.873957e-01.
INFO  - 24-06-17 12:54:13 [train          ] [1,     180] train loss: 4.989806e-01.
INFO  - 24-06-17 12:54:14 [train          ] [1,     181] train loss: 1.432668e+00.
INFO  - 24-06-17 12:54:16 [train          ] [1,     182] train loss: 1.066042e+00.
INFO  - 24-06-17 12:54:17 [train          ] [1,     183] train loss: 6.894000e-01.
INFO  - 24-06-17 12:54:18 [train          ] [1,     184] train loss: 7.794987e-01.
INFO  - 24-06-17 12:54:20 [train          ] [1,     185] train loss: 9.030544e-01.
INFO  - 24-06-17 12:54:21 [train          ] [1,     186] train loss: 1.084643e+00.
INFO  - 24-06-17 12:54:22 [train          ] [1,     187] train loss: 6.500548e-01.
INFO  - 24-06-17 12:54:23 [train          ] [1,     188] train loss: 7.379045e-01.
INFO  - 24-06-17 12:54:25 [train          ] [1,     189] train loss: 9.568785e-01.
INFO  - 24-06-17 12:54:26 [train          ] [1,     190] train loss: 1.002646e+00.
INFO  - 24-06-17 12:54:28 [train          ] [1,     191] train loss: 6.566018e-01.
INFO  - 24-06-17 12:54:29 [train          ] [1,     192] train loss: 1.350716e+00.
INFO  - 24-06-17 12:54:30 [train          ] [1,     193] train loss: 8.678889e-01.
INFO  - 24-06-17 12:54:31 [train          ] [1,     194] train loss: 5.850835e-01.
INFO  - 24-06-17 12:54:32 [train          ] [1,     195] train loss: 6.357061e-01.
INFO  - 24-06-17 12:54:33 [train          ] [1,     196] train loss: 8.591159e-01.
INFO  - 24-06-17 12:54:35 [train          ] [1,     197] train loss: 1.084933e+00.
INFO  - 24-06-17 12:54:37 [train          ] [1,     198] train loss: 1.270045e+00.
INFO  - 24-06-17 12:54:38 [train          ] [1,     199] train loss: 5.185683e-01.
INFO  - 24-06-17 12:54:39 [train          ] [1,     200] train loss: 7.877306e-01.
INFO  - 24-06-17 12:54:41 [train          ] [1,     201] train loss: 6.966133e-01.
INFO  - 24-06-17 12:54:42 [train          ] [1,     202] train loss: 5.551856e-01.
INFO  - 24-06-17 12:54:43 [train          ] [1,     203] train loss: 1.078012e+00.
INFO  - 24-06-17 12:54:45 [train          ] [1,     204] train loss: 1.820713e+00.
INFO  - 24-06-17 12:54:46 [train          ] [1,     205] train loss: 5.956324e-01.
INFO  - 24-06-17 12:54:47 [train          ] [1,     206] train loss: 8.707080e-01.
INFO  - 24-06-17 12:54:49 [train          ] [1,     207] train loss: 9.124050e-01.
INFO  - 24-06-17 12:54:50 [train          ] [1,     208] train loss: 5.687252e-01.
INFO  - 24-06-17 12:54:51 [train          ] [1,     209] train loss: 8.227422e-01.
