INFO  - 24-07-25 00:39:10 [__main__       ] Storing train run in /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-139
INFO  - 24-07-25 00:39:10 [__main__       ] lr: 0.001
INFO  - 24-07-25 00:39:10 [__main__       ] milestones: 3 30 100 180
INFO  - 24-07-25 00:39:10 [__main__       ] gamma: 0.5
INFO  - 24-07-25 00:39:10 [__main__       ] nepoch: 500
INFO  - 24-07-25 00:39:10 [__main__       ] truncate: 4
INFO  - 24-07-25 00:39:10 [__main__       ] print-freq: 1
INFO  - 24-07-25 00:39:10 [__main__       ] checkpoint-freq: 1000
INFO  - 24-07-25 00:39:10 [__main__       ] batch-size: 2
INFO  - 24-07-25 00:39:10 [__main__       ] time-limit: 48
INFO  - 24-07-25 00:39:10 [__main__       ] nfeature: 128
INFO  - 24-07-25 00:39:10 [__main__       ] kernel: 313 None None
INFO  - 24-07-25 00:39:10 [__main__       ] temporal-rnn: on
INFO  - 24-07-25 00:39:10 [__main__       ] ndynamic: 32
INFO  - 24-07-25 00:39:10 [__main__       ] acceleration: 2
INFO  - 24-07-25 00:50:32 [train          ] [1,      58] train loss: 1.311486e+00.
INFO  - 24-07-25 00:50:33 [train          ] [1,      59] train loss: 7.082070e-01.
INFO  - 24-07-25 00:50:33 [train          ] [1,      60] train loss: 8.861498e-01.
INFO  - 24-07-25 00:50:34 [train          ] [1,      61] train loss: 1.261377e+00.
INFO  - 24-07-25 00:50:35 [train          ] [1,      62] train loss: 1.009043e+00.
INFO  - 24-07-25 00:50:36 [train          ] [1,      63] train loss: 9.556193e-01.
INFO  - 24-07-25 00:50:37 [train          ] [1,      64] train loss: 1.560470e+00.
INFO  - 24-07-25 00:50:38 [train          ] [1,      65] train loss: 1.389812e+00.
INFO  - 24-07-25 00:50:38 [train          ] [1,      66] train loss: 1.096961e+00.
INFO  - 24-07-25 00:50:39 [train          ] [1,      67] train loss: 1.308271e+00.
INFO  - 24-07-25 00:50:40 [train          ] [1,      68] train loss: 1.627495e+00.
INFO  - 24-07-25 00:50:41 [train          ] [1,      69] train loss: 1.962423e+00.
INFO  - 24-07-25 00:50:42 [train          ] [1,      70] train loss: 1.320609e+00.
INFO  - 24-07-25 00:50:43 [train          ] [1,      71] train loss: 1.991445e+00.
INFO  - 24-07-25 00:50:44 [train          ] [1,      72] train loss: 1.100482e+00.
INFO  - 24-07-25 00:50:44 [train          ] [1,      73] train loss: 1.852608e+00.
INFO  - 24-07-25 00:50:45 [train          ] [1,      74] train loss: 1.284580e+00.
INFO  - 24-07-25 00:50:46 [train          ] [1,      75] train loss: 8.358681e-01.
INFO  - 24-07-25 00:50:47 [train          ] [1,      76] train loss: 1.391716e+00.
INFO  - 24-07-25 00:50:48 [train          ] [1,      77] train loss: 1.276757e+00.
INFO  - 24-07-25 00:50:49 [train          ] [1,      78] train loss: 1.187903e+00.
INFO  - 24-07-25 00:50:49 [train          ] [1,      79] train loss: 1.361380e+00.
INFO  - 24-07-25 00:50:50 [train          ] [1,      80] train loss: 1.187836e+00.
INFO  - 24-07-25 00:50:51 [train          ] [1,      81] train loss: 9.827143e-01.
INFO  - 24-07-25 00:50:52 [train          ] [1,      82] train loss: 1.227788e+00.
INFO  - 24-07-25 00:50:53 [train          ] [1,      83] train loss: 9.730774e-01.
INFO  - 24-07-25 00:50:54 [train          ] [1,      84] train loss: 8.196473e-01.
INFO  - 24-07-25 00:50:55 [train          ] [1,      85] train loss: 8.729914e-01.
INFO  - 24-07-25 00:50:55 [train          ] [1,      86] train loss: 1.183059e+00.
INFO  - 24-07-25 00:50:56 [train          ] [1,      87] train loss: 9.927695e-01.
INFO  - 24-07-25 00:50:57 [train          ] [1,      88] train loss: 7.998325e-01.
INFO  - 24-07-25 00:50:58 [train          ] [1,      89] train loss: 1.420530e+00.
INFO  - 24-07-25 00:50:59 [train          ] [1,      90] train loss: 1.081446e+00.
INFO  - 24-07-25 00:51:00 [train          ] [1,      91] train loss: 8.507403e-01.
INFO  - 24-07-25 00:51:00 [train          ] [1,      92] train loss: 1.330980e+00.
INFO  - 24-07-25 00:51:01 [train          ] [1,      93] train loss: 6.083332e-01.
INFO  - 24-07-25 00:51:02 [train          ] [1,      94] train loss: 9.586480e-01.
INFO  - 24-07-25 00:51:03 [train          ] [1,      95] train loss: 7.931951e-01.
INFO  - 24-07-25 00:51:04 [train          ] [1,      96] train loss: 5.953473e-01.
INFO  - 24-07-25 00:51:05 [train          ] [1,      97] train loss: 6.410839e-01.
INFO  - 24-07-25 00:51:06 [train          ] [1,      98] train loss: 7.927350e-01.
INFO  - 24-07-25 00:51:06 [train          ] [1,      99] train loss: 7.713715e-01.
INFO  - 24-07-25 00:51:07 [train          ] [1,     100] train loss: 7.654151e-01.
INFO  - 24-07-25 00:51:08 [train          ] [1,     101] train loss: 8.782442e-01.
INFO  - 24-07-25 00:51:09 [train          ] [1,     102] train loss: 1.316253e+00.
INFO  - 24-07-25 00:51:10 [train          ] [1,     103] train loss: 1.137848e+00.
INFO  - 24-07-25 00:51:11 [train          ] [1,     104] train loss: 7.738310e-01.
INFO  - 24-07-25 00:51:11 [train          ] [1,     105] train loss: 9.734425e-01.
INFO  - 24-07-25 00:51:12 [train          ] [1,     106] train loss: 1.101474e+00.
INFO  - 24-07-25 00:51:13 [train          ] [1,     107] train loss: 1.094612e+00.
INFO  - 24-07-25 00:51:14 [train          ] [1,     108] train loss: 1.341967e+00.
INFO  - 24-07-25 00:51:15 [train          ] [1,     109] train loss: 8.269333e-01.
INFO  - 24-07-25 00:51:16 [train          ] [1,     110] train loss: 5.363042e-01.
INFO  - 24-07-25 00:51:16 [train          ] [1,     111] train loss: 8.654144e-01.
INFO  - 24-07-25 00:51:17 [train          ] [1,     112] train loss: 9.217964e-01.
INFO  - 24-07-25 00:51:18 [train          ] [1,     113] train loss: 1.505233e+00.
INFO  - 24-07-25 00:51:19 [train          ] [1,     114] train loss: 1.560620e+00.
INFO  - 24-07-25 00:51:20 [train          ] [1,     115] train loss: 1.339784e+00.
INFO  - 24-07-25 00:51:21 [train          ] [1,     116] train loss: 1.035594e+00.
INFO  - 24-07-25 00:51:22 [train          ] [1,     117] train loss: 6.942386e-01.
INFO  - 24-07-25 00:51:22 [train          ] [1,     118] train loss: 6.260172e-01.
INFO  - 24-07-25 00:51:23 [train          ] [1,     119] train loss: 1.082033e+00.
INFO  - 24-07-25 00:51:24 [train          ] [1,     120] train loss: 1.062614e+00.
INFO  - 24-07-25 00:51:25 [train          ] [1,     121] train loss: 9.391739e-01.
INFO  - 24-07-25 00:51:26 [train          ] [1,     122] train loss: 7.543617e-01.
INFO  - 24-07-25 00:51:27 [train          ] [1,     123] train loss: 1.167373e+00.
INFO  - 24-07-25 00:51:27 [train          ] [1,     124] train loss: 9.190235e-01.
INFO  - 24-07-25 00:51:28 [train          ] [1,     125] train loss: 7.669627e-01.
INFO  - 24-07-25 00:51:29 [train          ] [1,     126] train loss: 1.248382e+00.
INFO  - 24-07-25 00:51:30 [train          ] [1,     127] train loss: 1.129132e+00.
INFO  - 24-07-25 00:51:31 [train          ] [1,     128] train loss: 1.233580e+00.
INFO  - 24-07-25 00:51:32 [train          ] [1,     129] train loss: 1.855576e+00.
INFO  - 24-07-25 00:51:33 [train          ] [1,     130] train loss: 1.834179e+00.
INFO  - 24-07-25 00:51:33 [train          ] [1,     131] train loss: 1.133743e+00.
INFO  - 24-07-25 00:51:34 [train          ] [1,     132] train loss: 1.079973e+00.
INFO  - 24-07-25 00:51:35 [train          ] [1,     133] train loss: 7.644480e-01.
INFO  - 24-07-25 00:51:36 [train          ] [1,     134] train loss: 1.234316e+00.
INFO  - 24-07-25 00:51:37 [train          ] [1,     135] train loss: 6.958594e-01.
INFO  - 24-07-25 00:51:38 [train          ] [1,     136] train loss: 1.358297e+00.
INFO  - 24-07-25 00:51:38 [train          ] [1,     137] train loss: 7.382783e-01.
INFO  - 24-07-25 00:51:39 [train          ] [1,     138] train loss: 7.725752e-01.
INFO  - 24-07-25 00:51:40 [train          ] [1,     139] train loss: 6.584967e-01.
INFO  - 24-07-25 00:51:41 [train          ] [1,     140] train loss: 1.280157e+00.
INFO  - 24-07-25 00:51:42 [train          ] [1,     141] train loss: 9.070296e-01.
INFO  - 24-07-25 00:51:43 [train          ] [1,     142] train loss: 1.660266e+00.
INFO  - 24-07-25 00:51:44 [train          ] [1,     143] train loss: 5.462351e-01.
INFO  - 24-07-25 00:51:44 [train          ] [1,     144] train loss: 9.410080e-01.
INFO  - 24-07-25 00:51:45 [train          ] [1,     145] train loss: 6.584179e-01.
INFO  - 24-07-25 00:51:46 [train          ] [1,     146] train loss: 1.726830e+00.
INFO  - 24-07-25 00:51:47 [train          ] [1,     147] train loss: 1.901908e+00.
INFO  - 24-07-25 00:51:48 [train          ] [1,     148] train loss: 9.852998e-01.
INFO  - 24-07-25 00:51:49 [train          ] [1,     149] train loss: 1.526532e+00.
INFO  - 24-07-25 00:51:49 [train          ] [1,     150] train loss: 1.026318e+00.
INFO  - 24-07-25 00:51:50 [train          ] [1,     151] train loss: 1.139648e+00.
INFO  - 24-07-25 00:51:51 [train          ] [1,     152] train loss: 8.384780e-01.
INFO  - 24-07-25 00:51:52 [train          ] [1,     153] train loss: 8.075852e-01.
INFO  - 24-07-25 00:51:53 [train          ] [1,     154] train loss: 1.046094e+00.
INFO  - 24-07-25 00:51:54 [train          ] [1,     155] train loss: 6.743550e-01.
INFO  - 24-07-25 00:51:55 [train          ] [1,     156] train loss: 1.055793e+00.
INFO  - 24-07-25 00:51:55 [train          ] [1,     157] train loss: 9.554498e-01.
